,,,,Command Area,,Non command Area,,Poor quality area,,,,,
,,,,Residential,,Residential,,Residential,,,,,
Sr.no,Watershed code,GW watershed name,village name,DWDW/HP,DW PWS,DWDW/HP,DW PWS,DWDW/HP,DW PWS,Total,,,
250,06-I-41-14,Kri-I-41-Nuzvid,H.M.Gudem,,,16,4,,,20,,,
251,06-I-41-14,Kri-I-41-Nuzvid,Venkatayapalem,,,20,5,,,25,,,
252,06-I-41-14,Kri-I-41-Nuzvid,Boravancha,16,7,0,0,,,23,,,
253,06-I-41-14,Kri-I-41-Nuzvid,Pothureddipalli,,,16,6,,,22,,,
254,06-I-41-14,Kri-I-41-Nuzvid,Jangamagudem,,,12,6,,,18,,,
255,06-I-41-14,Kri-I-41-Nuzvid,Thukkuluru,,,8,5,43,0,56,,,
256,06-I-41-14,Kri-I-41-Nuzvid,Ramannagudem,10,3,,,,,13,,,
257,06-I-41-14,Kri-I-41-Nuzvid,Polasanapalli,15,4,,,,,19,,,
258,06-I-41-14,Kri-I-41-Nuzvid,Morsapudi,12,4,,,,,16,,,
259,06-I-41-14,Kri-I-41-Nuzvid,Devaragunta,,,5,7,,,12,,,
260,06-I-41-14,Kri-I-41-Nuzvid,Vempadu,,,2,1,,,3,,,
261,06-I-41-14,Kri-I-41-Nuzvid,Gollapalli,,,5,6,,,11,,,
262,06-I-41-14,Kri-I-41-Nuzvid,Meerjapuram,,,14,5,,,19,,,
263,06-I-41-14,Kri-I-41-Nuzvid,M.N.Plem,,,5,2,,,7,,,
264,06-I-41-14,Kri-I-41-Nuzvid,Marribandam,0,4,0,0,,1,5,,,
265,06-I-41-14,Kri-I-41-Nuzvid,Seetharampuram,3,2,0,0,,,5,,,
266,06-I-41-14,Kri-I-41-Nuzvid,Pallerlamudi,10,4,0,0,,,14,,,
267,06-I-42-03,kri-I-42-Ganginenipalem,Ganginenipalem,53,3,0,0,,,56,,,
268,06-I-42-03,kri-I-42-Ganginenipalem,Telladevarapadu,18,0,0,0,,,18,,,
269,06-I-42-03,kri-I-42-Ganginenipalem,Sunnampadu,43,0,0,0,,,43,,,
